Employee ID,Employee,Age,Department,Salary,Joining Date,Experience (Years),Performance Rating
1001,Suman,50,HR,86250,1/31/2015,,1
1002,Kiran,36,Finance,102082,2/28/2015,3,5
1003,Aditya,29,Sales,64754,3/31/2015,9,2
1004,,42,Finance,41411,4/30/2015,5,2
1005,Vihaan,40,HR,32911,5/31/2015,17,5
1006,Shivansh,44,Sales,97270,6/30/2015,14,4
1007,Kabir,32,,,7/31/2015,3,2
1008,Shivansh,32,Finance,38680,8/31/2015,1,4
1009,Kiran,45,HR,114896,9/30/2015,1,2
1010,Manish,57,IT,113879,10/31/2015,3,2
1011,,45,IT,101295,11/30/2015,18,3
1012,Swati,24,Marketing,118614,12/31/2015,10,
1013,Sandeep,43,Sales,41111,1/31/2016,3,1
1014,Sanjay,23,Finance,67504,2/29/2016,8,5
1015,Ujjwal,45,HR,31802,3/31/2016,14,5
1016,Neha,51,Marketing,38155,4/30/2016,,
1017,Isha,59,Sales,103656,5/31/2016,15,2
1018,Deepak,23,Marketing,69384,6/30/2016,2,1
1019,Krishna,42,Sales,77254,7/31/2016,10,4
1020,Kabir,54,,,8/31/2016,2,3
1021,Deepak,33,Finance,115981,9/30/2016,17,4
1022,Sandeep,43,Sales,90713,10/31/2016,8,4
1023,Aditya,46,Marketing,60306,11/30/2016,1,2
1024,Aadhya,48,Sales,,12/31/2016,9,3
1025,Ujjwal,49,Finance,76843,1/31/2017,11,4
1026,Vihaan,37,Finance,46371,2/28/2017,16,1
1027,Suman,36,Marketing,107371,3/31/2017,,
1028,Swati,24,IT,32049,4/30/2017,10,5
1029,Sanjay,58,IT,61616,5/31/2017,3,3
1030,Sanjay,,Sales,50932,6/30/2017,18,3
1031,Suresh,42,HR,59855,7/31/2017,13,5
1032,Anjali,,Sales,91434,8/31/2017,7,4
1033,Suman,39,Marketing,102694,9/30/2017,4,3
1034,Kabir,25,Marketing,73016,10/31/2017,13,1
1035,Kavya,46,Marketing,37400,11/30/2017,1,1
1036,Ananya,35,Marketing,72642,12/31/2017,8,2
1037,Shivansh,30,Marketing,45151,1/31/2018,14,3
1038,Rekha,47,Finance,81407,2/28/2018,16,4
1039,Manish,23,IT,96690,3/31/2018,14,5
1040,Arjun,41,Marketing,34499,4/30/2018,12,5
1041,Krishna,,HR,,5/31/2018,19,4
1042,Amit,28,HR,,6/30/2018,15,2
1043,Sandeep,29,HR,42183,7/31/2018,,5
1044,Suresh,,HR,59299,8/31/2018,2,3
1045,Aakash,35,Finance,42874,9/30/2018,19,2
1046,Anjali,38,HR,62711,10/31/2018,17,3
1047,Aadhya,,Marketing,35539,11/30/2018,10,1
1048,Suresh,25,,83351,12/31/2018,6,
1049,Priya,23,HR,,1/31/2019,15,5
1050,Rekha,27,Finance,78354,2/28/2019,11,2
1051,Pooja,25,Finance,32557,3/31/2019,5,
1052,Pankaj,50,HR,68360,4/30/2019,1,2
1053,Kiran,39,Sales,112018,5/31/2019,8,2
1054,Sandeep,47,HR,32200,6/30/2019,12,3
1055,Rekha,55,Finance,,7/31/2019,12,1
1056,Anjali,31,IT,76975,8/31/2019,5,4
1057,Aadhya,57,Marketing,51357,9/30/2019,7,2
1058,Yash,35,Finance,107505,10/31/2019,4,5
1059,Sanjay,52,,32869,11/30/2019,6,
1060,Pranav,36,Marketing,91135,12/31/2019,13,5
1061,Aditya,29,HR,80108,1/31/2020,15,
1062,Kabir,,HR,68467,2/29/2020,,5
1063,Harsh,,IT,53328,3/31/2020,8,4
1064,Krishna,42,Marketing,116831,4/30/2020,16,1
1065,Siddharth,37,Marketing,33987,5/31/2020,13,5
1066,Gaurav,39,IT,88871,6/30/2020,,5
1067,Vikas,45,Finance,52399,7/31/2020,10,1
1068,Swati,,HR,76214,8/31/2020,19,
1069,Ishaan,46,,116416,9/30/2020,17,2
1070,Deepak,50,HR,100271,10/31/2020,19,5
1071,Saanvi,36,HR,74064,11/30/2020,5,1
1072,Rekha,22,Finance,100091,12/31/2020,9,3
1073,Rahul,46,HR,70818,1/31/2021,12,1
1074,Sunil,28,IT,75525,2/28/2021,1,3
1075,Ananya,30,IT,49830,3/31/2021,1,4
1076,Amit,45,Marketing,,4/30/2021,15,2
1077,Aarav,22,Sales,36893,5/31/2021,2,1
1078,Aakash,29,HR,109909,6/30/2021,16,5
1079,Harsh,45,HR,77333,7/31/2021,8,4
1080,Rajesh,32,,,8/31/2021,13,1
1081,Suresh,38,IT,104290,9/30/2021,1,5
1082,Aakash,29,Sales,106213,10/31/2021,16,1
1083,Sanjay,56,Marketing,35895,11/30/2021,7,3
1084,Amit,56,,49738,12/31/2021,5,1
1085,Aarav,54,Marketing,60746,1/31/2022,3,1
1086,Rekha,26,Finance,79377,2/28/2022,,
1087,Isha,49,Finance,78404,3/31/2022,16,4
1088,Rajesh,,HR,84045,4/30/2022,19,
1089,Sandeep,,,69790,5/31/2022,5,5
1090,Ishaan,29,Marketing,35600,6/30/2022,14,3
1091,Ishaan,33,IT,70764,7/31/2022,5,3
1092,Shivansh,55,,104543,8/31/2022,,1
1093,Suresh,54,HR,75714,9/30/2022,17,4
1094,Rahul,44,HR,86835,10/31/2022,,4
1095,Jitendra,45,,103744,11/30/2022,5,5
1096,Pankaj,58,Finance,,12/31/2022,12,1
1097,Suresh,56,Sales,48589,1/31/2023,,3
1098,Ananya,43,Finance,73484,2/28/2023,16,4
1099,Manish,48,Marketing,112989,3/31/2023,7,1
1100,Vihaan,56,Marketing,66212,4/30/2023,4,4
